Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered,Active Cases,Serious,Population
USA,"103,151,843",,"1,121,725                                ",,"100,061,532",,"1,968,586","4,815","334,805,269 "
India,"44,681,523",,"530,722                                ",,"44,147,322",,"3,479",698,"1,406,631,776 "
France,"39,421,144",,"163,105                                ",,"38,862,625",,"395,414",869,"65,584,518 "
Germany,"37,562,191",,"163,244                                ",,"36,946,600","+40,900","452,347","1,281","83,883,596 "
Brazil,"36,560,497",,"695,031                                ",,"35,429,017",,"436,449","8,318","215,353,593 "
Japan,"30,647,859",,"60,411                                ",,"21,271,832",,"9,315,616",656,"125,584,838 "
S. Korea,"29,654,090","+54,343","32,745                                ",76.0,"28,567,938","+66,005","1,053,407",540,"51,329,899 "
Italy,"25,279,682",,"185,417                                ",,"24,688,083",,"406,182",319,"60,262,770 "
UK,"24,210,131",,"201,028                                ",,"23,895,374","+6,508","113,729",146,"68,497,907 "
Russia,"21,832,768",,"394,168                                ",,"21,253,611",,"184,989","2,300","145,805,947 "
Turkey,"17,042,722",,"101,492                                ",,,,,,"85,561,976 "
Spain,"13,693,478",,"117,413                                ",,"13,502,806",,"73,259",231,"46,719,142 "
Vietnam,"11,525,911",,"43,186                                ",,"10,611,547",,"871,178",12,"98,953,541 "
Australia,"11,211,305","+1,150","17,380                                ",31.0,"11,052,693",,"141,232",109,"26,068,792 "
Argentina,"10,004,679",,"130,249                                ",,"9,707,830","+8,843","166,600",402,"46,010,234 "
Taiwan,"9,123,185","+25,643","15,654                                ",46.0,"8,628,935","+19,853","478,596",,"23,888,595 "
Netherlands,"8,576,523",,"22,989                                ",,"8,528,649",,"24,885",55,"17,211,447 "
Iran,"7,562,169",,"144,717                                ",,"7,336,524",,"80,928",167,"86,022,837 "
Mexico,"7,284,502",,"331,333                                ",,"6,519,926",,"433,243","4,798","131,562,772 "
Indonesia,"6,724,281",,"160,697                                ",,"6,555,664",,"7,920","2,771","279,134,505 "
Poland,"6,371,866",,"118,601                                ",,"5,335,940",,"917,325","1,192","37,739,785 "
Colombia,"6,349,971",,"142,259                                ",,"6,170,360",,"37,352",342,"51,512,762 "
Austria,"5,731,160",,"21,517                                ",,"5,680,255",,"29,388",,"9,066,710 "
Portugal,"5,557,941",,"25,805                                ",,"5,525,559",,"6,577",61,"10,140,570 "
Greece,"5,548,487",,"34,779                                ",,"5,513,708",,0,115,"10,316,637 "
Ukraine,"5,361,352",,"110,859                                ",,"5,243,879",+623,"6,614",,"43,192,122 "
Chile,"5,071,034",,"63,381                                ",,"5,000,039",,"7,614",113,"19,250,195 "
Malaysia,"5,031,076",,"36,892                                ",,"4,982,772",,"11,412",26,"33,181,072 "
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"25,990,679 "
Israel,"4,772,755",,"12,101                                ",,"4,750,133",,"10,521",57,"9,326,000 "
Thailand,"4,724,916",,"33,727                                ",,"4,690,108",,"1,081","1,496","70,078,203 "
Belgium,"4,682,234",,"33,395                                ",,"4,619,471","+1,608","29,368",97,"11,668,278 "
Czechia,"4,583,646",,"42,220                                ",,"4,536,834",,"4,592",42,"10,736,784 "
Canada,"4,508,275",,"49,566                                ",,"4,393,634","+2,361","65,075",99,"38,388,419 "
Peru,"4,470,919",,"218,414                                ",,"4,232,661",,"19,844",101,"33,684,208 "
